,class,jaccard_score,accuracy_score,precision_score,recall_score,f1_score
0,road,1.0,1.0,1.0,1.0,1.0
1,sidewalk,0.2,0.2,0.2,0.2,0.2
2,building,0.49,0.98,0.98,0.98,0.9701010101010101
3,wall,0.2,0.2,0.2,0.2,0.2
4,fence,0.2,0.2,0.2,0.2,0.2
5,pole,0.42470544918998526,0.75,0.8089887640449438,0.75,0.7203664821530827
6,traffic light,0.2,0.2,0.2,0.2,0.2
7,traffic sign,0.2,0.2,0.2,0.2,0.2
8,vegetation,0.2,0.2,0.2,0.2,0.2
9,terrain,0.5151515151515151,0.72,0.6153846153846154,0.72,0.7093333333333334
10,sky,0.2,0.2,0.2,0.2,0.2
11,person,0.2,0.2,0.2,0.2,0.2
12,rider,0.2,0.2,0.2,0.2,0.2
13,car,0.2,0.2,0.2,0.2,0.2
14,truck,0.2,0.2,0.2,0.2,0.2
15,bus,0.2,0.2,0.2,0.2,0.2
16,train,1.0,1.0,0.0,1.0,1.0
17,motorcycle,0.495,0.99,0.0,0.99,0.9850251256281406
18,bicycle,0.2,0.2,0.2,0.2,0.2
19,unlabeled,0.2,0.2,0.2,0.2,0.2
